mun,novMun
Butiá ,São Jerônimo 
Campina das Missões ,Santa Rosa
Cândido Godói ,Santa Rosa
Formigueiro ,São Sepé 
São Marcos ,Caxias do Sul 
Salvador do Sul ,Montenegro 
Alecrim ,Santo Cristo 
Portão ,São Sebastião do Caí
Sertão ,Passo Fundo 
Barros Cassal ,Soledade 
Arroio do Tigre ,Sobradinho
Cruzeiro do Sul ,Lajeado 
Esmeralda ,Vacaria 
São Martinho ,Santo Augusto
Boa Vista do Buricá ,Três de Maio
Dom Feliciano ,Encruzilhada do Sul
Coronel Bicaco ,Palmeira das Missões
Rodeio Bonito ,Palmeira das Missões
Erval Seco ,Seberi
Cambará do Sul ,São Francisco de Paula 
Severiano de Almeida ,Erechim
Anta Gorda ,Encantado 
Ilópolis ,Encantado 
Alpestre ,Iraí 
Putinga ,Encantado 
Ronda Alta ,Sarandi
Mostardas ,São José do Norte 
Planalto ,Iraí
Redentora ,Campo Novo
Nova Bassano ,Nova Prata 
Barracão ,Lagoa Vermelha
Igrejinha ,Taquara 
Jacutinga ,Campinas do Sul
Cacique Doble ,Machadinho
Liberato Salzano ,Constantina
Barão de Cotegipe ,Erechim
Ivoti ,Estância Velha 
Rondinha ,Sarandi
Mata ,São Vicente do Sul 
Itatiba do Sul ,Erechim 
Nova Araçá ,Nova Prata 
Nova Bréscia ,Arroio do Meio
Fontoura Xavier ,Soledade 
Ibiraiaras ,Lagoa Vermelha 
Mariano Moro ,Erechim 
Paraí ,Nova Prata 
Dona Francisca ,Faxinal do Soturno 
Caibaté ,São Luis Gonzaga 
Alvorada ,Viamão 
Santana da Boa Vista ,Caçapava do Sul 
Augusto Pestana ,Ijuí
Vicente Dutra ,Frederico Westphalen 
Selbach ,Tapera 
Tramandaí ,Osório 
Bossoroca ,São Luis Gonzaga 
Santo Antônio das Missões ,São Borja 
Caiçara ,Frederico Westphalen 
Victor Graeff ,Não-Me-Toque
Independência ,Três de Maio 
Ajuricaba ,Ijuí 
Palmitinho ,Frederico Westphalen 
Cachoeirinha ,Gravataí 
Condor ,Panambi 
Ibiaçá ,Passo Fundo 
São Nicolau ,São Luis Gonzaga 
Roque Gonzales ,Cerro Largo 
Braga ,Campo Novo
Chiapeta ,Catuípe 
Miraguaí ,Tenente Portela 
Pejuçara ,Cruz alta
Ciríaco ,Passo Fundo 
David Canabarro ,Passo Fundo 
São Paulo das Missões ,Cerro Largo 
Porto Xavier ,Cerro Largo 
Teutônia ,Estrela 
Capão da Canoa ,Osório 
Charqueadas ,São Jerônimo 
Parobé ,Taquara 
Capão do Leão ,Pelotas 
Fortaleza dos Valos ,Cruz Alta 
Cotiporã ,Veranópolis 
Bom Princípio ,São Sebastião do Caí
Palmares do Sul ,Osório
Tavares ,São José do Norte
Jóia ,Tupanciretã
Salto do Jacuí ,Espumoso
Arroio dos Ratos,São Jerônimo 
General Vargas,São Vicente do Sul 
