Mun,Candidato,Ano,Cargo,NumVotos,percCidade,Partido,Cassado
PORTO ALEGRE,ALCEU DE DEUS COLLARES,1970,DEPUTADO FEDERAL,46703,"0,14%",MDB,0
PORTO ALEGRE,VOTOS EM BRANCO,1970,DEPUTADO FEDERAL,46276,"0,14%",BRANCO,0
PORTO ALEGRE,CELIO MARQUES FERNANDES,1970,DEPUTADO FEDERAL,37900,"0,12%",ARENA,0
PORTO ALEGRE,VOTOS NULOS,1970,DEPUTADO FEDERAL,31139,"0,10%",NULO,0
PELOTAS,ARY RODRIGUES ALCANTARA,1970,DEPUTADO FEDERAL,28095,"0,40%",ARENA,0
PORTO ALEGRE,SYNVAL SEBASTIAO DUARTE GUAZZELI,1970,DEPUTADO FEDERAL,21819,"0,07%",ARENA,0
PORTO ALEGRE,LAURO PEREIRA RODRIGUES,1970,DEPUTADO FEDERAL,20517,"0,06%",MDB,0
CAXIAS DO SUL,NADYR ROSSETI,1970,DEPUTADO FEDERAL,17329,"0,33%",MDB,0
PELOTAS,GETULIO PEREIRA DIAS,1970,DEPUTADO FEDERAL,17269,"0,25%",MDB,0
CAXIAS DO SUL,MARIO MONDINO,1970,DEPUTADO FEDERAL,13301,"0,26%",ARENA,0
SANTA MARIA,GUILHERME GROISMANN,1970,DEPUTADO FEDERAL,12366,"0,22%",MDB,0
BAGE,ALCEU DE DEUS COLLARES,1970,DEPUTADO FEDERAL,10985,"0,42%",MDB,0
PORTO ALEGRE,LEGENDA MDB,1970,DEPUTADO FEDERAL,10938,"0,03%",MDB,0
PORTO ALEGRE,VICTOR LOUREIRO ISSLER,1970,DEPUTADO FEDERAL,10679,"0,03%",MDB,0
CANOAS,VOTOS EM BRANCO,1970,DEPUTADO FEDERAL,10186,"0,22%",BRANCO,0
SANTA MARIA,HELIO HELBERT DOS SANTOS,1970,DEPUTADO FEDERAL,9600,"0,17%",ARENA,0
SANTA CRUZ DO SUL,NORBERTO HARALD SCHMIDT,1970,DEPUTADO FEDERAL,8868,"0,34%",ARENA,0
PELOTAS,VOTOS EM BRANCO,1970,DEPUTADO FEDERAL,8747,"0,12%",BRANCO,0
NOVO HAMBURGO,MILTON ALBINO CASSEL,1970,DEPUTADO FEDERAL,8692,"0,31%",ARENA,0
RIO GRANDE,ALBERTO MARTINS DA SILVA,1970,DEPUTADO FEDERAL,8414,"0,20%",MDB,0
RIO GRANDE,VOTOS EM BRANCO,1970,DEPUTADO FEDERAL,8121,"0,20%",BRANCO,0
